# temperature,rainfall,humidity,yield_of_corp
25,76,99,72.2
39,65,70,59.7
59,45,77,65.2
84,63,38,56.8
66,50,52,55.8
41,94,77,69.6
91,57,96,86.7
49,96,99,83.4
67,20,28,38.1
85,31,95,79.2
78,46,34,49.6
31,40,63,48.8
52,77,85,73.5
28,66,77,60.1
32,50,57,48.1
31,79,53,51.6
45,76,48,52.7
80,52,27,47.9
24,45,90,61.2
20,89,84,65.8
32,20,96,61.6
56,44,74,62.6
93,70,80,81.9
62,87,73,72.5
85,48,90,80.1
87,86,93,89.8
43,57,69,58.8
28,71,44,44.6
44,95,58,61.2
88,48,46,59.0
80,50,38,53.0
27,75,89,67.6
93,61,73,76.6
31,87,62,57.7
38,94,44,52.2
55,93,55,62.6
56,22,47,44.7
38,64,79,63.7
26,22,40,32.2
27,98,24,39.7
55,37,38,42.9
63,69,46,55.7
21,34,21,23.6
31,89,85,69.6
45,69,91,72.8
48,86,77,70.1
27,51,27,31.8
40,47,88,65.4
29,45,69,52.2
35,55,85,64.0
62,43,58,56.2
67,95,54,66.1
35,46,55,47.2
36,75,28,39.8
97,62,87,85.0
29,52,25,31.6
31,26,72,50.5
94,100,59,77.7
47,52,76,62.5
46,52,70,59.2
40,68,72,61.6
35,27,84,57.9
69,96,29,54.4
69,57,52,58.1
33,45,71,54.4
88,95,82,86.4
48,90,69,66.9
55,78,66,65.1
28,44,67,50.7
34,58,27,35.3
62,46,89,72.3
92,78,89,87.7
20,69,70,54.8
88,49,65,68.7
56,83,36,51.4
51,67,54,55.7
47,50,71,59.6
32,94,71,63.9
33,21,96,62.1
100,81,69,80.7
31,58,22,31.9
74,96,33,57.9
79,98,99,92.8
49,76,38,48.9
78,51,79,73.1
28,51,62,49.6
43,49,55,50.2
73,62,50,59.3
41,59,78,63.1
44,31,52,45.4
29,97,29,42.6
38,75,60,56.4
68,60,29,46.9
46,71,37,46.5
44,39,49,45.5
25,78,31,38.6
52,84,47,55.9
20,98,71,61.1
99,47,67,72.6
68,83,94,84.0
38,90,20,39.4
99,67,43,64.6
53,71,39,49.6
85,30,49,56.0
90,20,43,52.5
62,67,38,51.0
81,81,78,79.5
23,69,65,53.2
86,66,22,50.0
58,89,76,73.2
28,51,88,62.6
98,33,76,74.0
41,22,84,58.7
52,69,60,59.4
46,68,38,46.4
87,35,54,60.1
37,76,74,63.3
86,80,40,61.8
57,86,45,56.8
31,94,87,71.6
45,31,46,42.7
26,20,31,27.3
56,36,68,58.0
96,96,48,72.0
35,57,23,33.4
51,28,78,59.9
44,40,78,60.2
69,44,78,68.5
52,29,84,63.4
